,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
174,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
175,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
176,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
177,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
178,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
179,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
180,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
181,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
182,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
183,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
184,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
185,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
186,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
187,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
188,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
189,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
190,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
191,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
192,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
193,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
194,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
195,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
196,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
197,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
198,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
199,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
200,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
201,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
202,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
203,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
204,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
205,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
206,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
207,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
208,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
209,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
210,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
211,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
212,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
213,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
214,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
215,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
216,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
217,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
218,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
219,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
220,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
221,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
222,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
223,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
224,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
225,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
226,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
227,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
228,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
229,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
230,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
231,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
232,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
233,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
234,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
235,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
236,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
237,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
238,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
239,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
240,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
241,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
242,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
243,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
244,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
245,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
246,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
247,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
248,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
249,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
250,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
251,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
252,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
253,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
254,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
255,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
256,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
257,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
258,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
259,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
260,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
261,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
262,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
263,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
264,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
265,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
266,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
267,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
268,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
269,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
270,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
271,Thu Feb 25 22:21:52 2021,61.0,21.0,1,50,1
272,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
273,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
274,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
275,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
276,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
277,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
278,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
279,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
280,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
281,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
282,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
283,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
284,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
285,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
286,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
287,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
288,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
289,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
290,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
291,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
292,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
293,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
294,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
295,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
296,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
297,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
298,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
299,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
300,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
301,Thu Feb 25 22:21:53 2021,61.0,21.0,1,50,1
