,timestamp,Humidity,Temperature,Motion
288,Tue Feb 23 12:59:48 2021,161.0,11.0,0
289,Tue Feb 23 12:59:48 2021,161.0,11.0,0
290,Tue Feb 23 12:59:48 2021,161.0,11.0,0
291,Tue Feb 23 12:59:48 2021,161.0,11.0,0
292,Tue Feb 23 12:59:48 2021,161.0,11.0,0
293,Tue Feb 23 12:59:48 2021,161.0,11.0,0
294,Tue Feb 23 12:59:48 2021,161.0,11.0,0
295,Tue Feb 23 12:59:48 2021,161.0,11.0,0
296,Tue Feb 23 12:59:48 2021,161.0,11.0,0
297,Tue Feb 23 12:59:48 2021,161.0,11.0,0
298,Tue Feb 23 12:59:48 2021,161.0,11.0,0
299,Tue Feb 23 12:59:48 2021,161.0,11.0,0
300,Tue Feb 23 12:59:48 2021,161.0,11.0,0
301,Tue Feb 23 12:59:48 2021,161.0,11.0,0
302,Tue Feb 23 12:59:48 2021,161.0,11.0,0
303,Tue Feb 23 12:59:48 2021,161.0,11.0,0
304,Tue Feb 23 12:59:48 2021,161.0,11.0,0
305,Tue Feb 23 12:59:48 2021,161.0,11.0,0
306,Tue Feb 23 12:59:48 2021,161.0,11.0,0
307,Tue Feb 23 12:59:48 2021,161.0,11.0,0
308,Tue Feb 23 12:59:48 2021,161.0,11.0,0
309,Tue Feb 23 12:59:48 2021,161.0,11.0,0
310,Tue Feb 23 12:59:48 2021,161.0,11.0,0
311,Tue Feb 23 12:59:48 2021,161.0,11.0,0
312,Tue Feb 23 12:59:48 2021,161.0,11.0,0
313,Tue Feb 23 12:59:48 2021,161.0,11.0,0
314,Tue Feb 23 12:59:48 2021,161.0,11.0,0
315,Tue Feb 23 12:59:48 2021,161.0,11.0,0
316,Tue Feb 23 12:59:48 2021,161.0,11.0,0
317,Tue Feb 23 12:59:48 2021,161.0,11.0,0
318,Tue Feb 23 12:59:48 2021,161.0,11.0,0
319,Tue Feb 23 12:59:48 2021,161.0,11.0,0
320,Tue Feb 23 12:59:48 2021,161.0,11.0,0
321,Tue Feb 23 12:59:48 2021,161.0,11.0,0
322,Tue Feb 23 12:59:48 2021,161.0,11.0,0
323,Tue Feb 23 12:59:48 2021,161.0,11.0,0
324,Tue Feb 23 12:59:48 2021,161.0,11.0,0
325,Tue Feb 23 12:59:48 2021,161.0,11.0,0
